StoreNumber,minuteClinicID,opticalClinicID,storeType,covaxInd,bannerBrandInd,bannerBrandDesc,minuteClinicName,pharmacyNCPDPProviderIdentifier,addressLine,addressCityDescriptionText,addressState,addressZipCode,addressCountry,geographicLatitudePoint,geographicLongitudePoint,indicatorStoreTwentyFourHoursOpen,indicatorPrescriptionService,indicatorPhotoCenterService,indicatorMinuteClinicService,indicatorOpticalService,instorePickupService,indicatorDriveThruService,indicatorPharmacyTwentyFourHoursOpen,rxConvertedFlag,indicatorCircularConverted,indicatorH1N1FluShot,indicatorRxFluFlag,indicatorWicService,snapIndicator,indicatorVaccineServiceSupport,indicatorPneumoniaShotService,indicatorWeeklyAd,indicatorCVSStore,indicatorStorePickup,storeLocationTimeZone,storePhonenumber,pharmacyPhonenumber,adVersionCdCurrent,distance,locationID,waittime,hmpilstatus,sameDayStatus,addedWTLunchDuration,ageThreshold,gracePeriod,alertMessage,waitTimeEnabled,scheduleEnabled,hmpilEnabled,waitTimeOpenBuffer,waitTimeCloseBuffer,checkInReminder,sameDayEnabled,reasonforvisits,storeOpen_Mon,storeClose_Mon,storeOpen_Tue,storeClose_Tue,storeOpen_Wed,storeClose_Wed,storeOpen_Thu,storeClose_Thu,storeOpen_Fri,storeClose_Fri,storeOpen_Sat,storeClose_Sat,storeOpen_Sun,storeClose_Sun,minuteClinicOpen_Mon,minuteClinicClose_Mon,minuteClinicOpen_Tue,minuteClinicClose_Tue,minuteClinicOpen_Wed,minuteClinicClose_Wed,minuteClinicOpen_Thu,minuteClinicClose_Thu,minuteClinicOpen_Fri,minuteClinicClose_Fri,minuteClinicOpen_Sat,minuteClinicClose_Sat,minuteClinicOpen_Sun,minuteClinicClose_Sun,pharmacyOpen_Mon,pharmacyClose_Mon,pharmacyOpen_Tue,pharmacyClose_Tue,pharmacyOpen_Wed,pharmacyClose_Wed,pharmacyOpen_Thu,pharmacyClose_Thu,pharmacyOpen_Fri,pharmacyClose_Fri,pharmacyOpen_Sat,pharmacyClose_Sat,pharmacyOpen_Sun,pharmacyClose_Sun,minuteClinicNpBreakHours_Mon,minuteClinicNpBreakHours_Tue,minuteClinicNpBreakHours_Wed,minuteClinicNpBreakHours_Thu,minuteClinicNpBreakHours_Fri,minuteClinicNpBreakHours_Sat,minuteClinicNpBreakHours_Sun
10826,2278,2407,0,Y,1,CVS,Inside CVS Pharmacy,5819543,1440 BROADWAY,NEW YORK,NY,10018,US,40.7544,-73.9865,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,EST,2122213844,2122213844,G,0.54,4391,NULL,NULL,Active,0,18,90,,N,Y,N,0,0,30,Y,"Flu Vaccine | Pneumonia Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Pfizer COVID-19 Vaccine, Primary Series (ages 5 to 11 yrs) | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer COVID-19 Bivalent Booster (ages 12 and older) | Pfizer COVID-19 Bivalent Booster (ages 5 to 11 years) | Pfizer Bivalent (ages 18 mos to 4 yrs) | Patient Care Transformation | Chronic: Diabetes, Hypertension, etc. | Sleep Assessment | Fever and Cough or Shortness of breath | Antibody Test (for a previous COVID-19 infection)",Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,Closed,,9:00 AM, 5:30 PM,10:00 AM, 5:30 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,9:00 AM, 06:00 PM,9:00 AM, 06:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
2427,911,0,0,Y,1,CVS,Inside CVS Pharmacy,3309312,215 PARK AVENUE SOUTH,NEW YORK,NY,10003,US,40.7369,-73.9885,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,EST,6466028237,6466028237,G,0.81,3137,NULL,NULL,Active,0,18,90,,N,Y,N,0,0,30,Y,"Flu Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Diabetic Retinopathy | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Pfizer COVID-19 Bivalent Booster (ages 12 and older) | Pfizer COVID-19 Bivalent Booster (ages 5 to 11 years) | Pfizer Bivalent (ages 18 mos to 4 yrs) | Patient Care Transformation | Chronic: Diabetes, Hypertension, etc. | Sleep Assessment | Fever and Cough or Shortness of breath",7:00 AM, 12:00 AM,7:00 AM, 12:00 AM,7:00 AM, 12:00 AM,7:00 AM, 12:00 AM,7:00 AM, 12:00 AM,7:00 AM, 12:00 AM,7:00 AM, 12:00 AM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,9:00 AM, 5:30 PM,10:00 AM, 5:30 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,8:00 AM, 08:00 PM,9:00 AM, 06:00 PM,9:00 AM, 06:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
8968,2242,0,0,Y,1,CVS,Inside CVS Pharmacy,3361970,222 EAST 34TH STREET,NEW YORK,NY,10016,US,40.7448,-73.9765,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,EST,2125322354,2125322354,G,0.88,3402,NULL,NULL,Active,0,18,90,,N,Y,N,0,0,30,Y,"Flu Vaccine | Pneumonia Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Pfizer COVID-19 Vaccine, Primary Series (ages 5 to 11 yrs) | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer COVID-19 Bivalent Booster (ages 5 to 11 years) | Pfizer Bivalent (ages 18 mos to 4 yrs) | Sleep Assessment | Fever and Cough or Shortness of breath",Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,Closed,,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,Closed,,Closed,,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,10:00 AM, 06:00 PM,10:00 AM, 06:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
11059,2491,0,0,Y,1,CVS,Inside CVS Pharmacy,5829001,"1619 BROADWAY, CORNER of WEST 49th STREET",NEW YORK,NY,10019,US,40.761,-73.9845,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,EST,6464165752,6464165752,G,0.98,4603,NULL,NULL,Active,0,18,90,,N,Y,N,0,0,30,Y,"Flu Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Pfizer COVID-19 Vaccine,Primary Series (ages 12 and older) | Pfizer COVID-19 Vaccine, Primary Series (ages 5 to 11 yrs) | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer COVID-19 Bivalent Booster (ages 12 and older) | Pfizer Bivalent (ages 18 mos to 4 yrs) | Patient Care Transformation | Chronic: Diabetes, Hypertension, etc. | Sleep Assessment | Fever and Cough or Shortness of breath | Antibody Test (for a previous COVID-19 infection)",Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,9:00 AM, 5:30 PM,10:00 AM, 5:30 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,9:00 AM, 06:00 PM,9:00 AM, 06:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
10298,1821,2406,0,Y,1,CVS,Inside CVS Pharmacy,5808704,241 WEST 57TH ST,NEW YORK,NY,10019,US,40.7668,-73.9823,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,EST,2122475848,2122475848,G,1.39,1248,NULL,NULL,Active,0,18,90,,N,Y,N,0,0,30,Y,"Flu Vaccine | Pneumonia Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Pfizer COVID-19 Vaccine,Primary Series (ages 12 and older) | Pfizer COVID-19 Vaccine, Primary Series (ages 5 to 11 yrs) | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer COVID-19 Bivalent Booster (ages 12 and older) | Pfizer COVID-19 Bivalent Booster (ages 5 to 11 years) | Pfizer Bivalent (ages 18 mos to 4 yrs) | Patient Care Transformation | Sleep Assessment | Fever and Cough or Shortness of breath | Antibody Test (for a previous COVID-19 infection)",Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,9:00 AM, 5:30 PM,10:00 AM, 5:30 PM,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
10407,2243,0,0,Y,1,CVS,Inside CVS Pharmacy,5810420,298 MULBERRY ST,NEW YORK,NY,10012,US,40.7251,-73.9947,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,EST,2122266111,2122266111,G,1.6,3400,NULL,NULL,Active,0,18,90,,N,Y,N,0,0,30,Y,"Flu Vaccine | Pneumonia Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Ear Wax Removal | Post Vaccination Side Effects | Pfizer COVID-19 Vaccine, Primary Series (ages 5 to 11 yrs) | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer COVID-19 Bivalent Booster (ages 12 and older) | Pfizer COVID-19 Bivalent Booster (ages 5 to 11 years) | Pfizer Bivalent (ages 18 mos to 4 yrs) | Sleep Assessment | Fever and Cough or Shortness of breath",Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,Closed,,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,Closed,,Closed,,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,9:00 AM, 06:00 PM,9:00 AM, 06:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
1928,413,0,0,Y,1,CVS,Inside CVS Pharmacy,3135589,"59 WASHINGTON ST, COURT STREET PLAZA",HOBOKEN,NJ,7030,US,40.7366,-74.0309,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,EST,2017981889,2017981889,B,2.67,1313,NULL,NULL,Active,0,18,90,This clinic is temporarily closed. Please select a different location.,N,Y,N,0,0,30,Y,"Flu Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Diabetic Retinopathy | Mesa B2B | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Patient Care Transformation | Chronic: Diabetes, Hypertension, etc. | Sleep Assessment | Fever and Cough or Shortness of breath | Antibody Test (for a previous COVID-19 infection)",Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,9:00 AM, 5:30 PM,9:00 AM, 4:30 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,9:00 AM, 08:00 PM,10:00 AM, 09:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
2498,492,0,0,Y,1,CVS,Inside CVS Pharmacy,3306366,341 9TH STREET,BROOKLYN,NY,11215,US,40.6688,-73.9849,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,EST,7184993414,7184993414,C,2.92,3183,NULL,NULL,Active,0,18,90,The clinic is temporarily closed from 03:00 pm to 07:30 pm .Please try again when the clinic opens.,N,N,N,0,0,30,Y,"Flu Vaccine | Pneumonia Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Pfizer COVID-19 Vaccine,Primary Series (ages 12 and older) | Pfizer COVID-19 Vaccine, Primary Series (ages 5 to 11 yrs) | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer COVID-19 Bivalent Booster (ages 12 and older) | Pfizer COVID-19 Bivalent Booster (ages 5 to 11 years) | Pfizer Bivalent (ages 18 mos to 4 yrs) | Sleep Assessment | Fever and Cough or Shortness of breath | Antibody Test (for a previous COVID-19 infection)",Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,9:00 AM, 5:30 PM,10:00 AM, 5:30 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,8:00 AM, 10:00 PM,9:00 AM, 09:00 PM,9:00 AM, 09:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
3224,2238,0,0,Y,1,CVS,Inside CVS Pharmacy,3323425,130 LENOX AVE.,NEW YORK,NY,10026,US,40.8021,-73.9492,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,EST,2123482199,2123482199,G,2.35,3397,NULL,NULL,Active,0,18,90,This clinic is temporarily closed. Please select a different location.,N,Y,N,0,0,30,Y,"Flu Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Pfizer COVID-19 Vaccine, Primary Series (ages 5 to 11 yrs) | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer COVID-19 Bivalent Booster (ages 12 and older) | Pfizer COVID-19 Bivalent Booster (ages 5 to 11 years) | Pfizer Bivalent (ages 18 mos to 4 yrs) | Patient Care Transformation | Chronic: Diabetes, Hypertension, etc. | Sleep Assessment | Fever and Cough or Shortness of breath | Antibody Test (for a previous COVID-19 infection)",7:00 AM, 10:00 PM,7:00 AM, 10:00 PM,7:00 AM, 10:00 PM,7:00 AM, 10:00 PM,7:00 AM, 10:00 PM,7:00 AM, 10:00 PM,7:00 AM, 10:00 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,8:30 AM, 7:30 PM,Closed,,Closed,,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,8:00 AM, 09:00 PM,9:00 AM, 06:00 PM,9:00 AM, 06:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
7576,2076,0,0,Y,1,CVS,Inside CVS Pharmacy,5801053,3101 DITMARS BLVD.,ASTORIA,NY,11105,US,40.7761,-73.9104,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,Y,N,N,Y,Y,Y,EST,7185450128,7185450128,C,2.56,3141,NULL,NULL,No,0,18,90,This clinic is temporarily closed. Please select a different location.,N,N,N,0,0,30,N,"Flu Vaccine | Pneumonia Vaccine | Illness/Injury | Skin Condition | Vaccinations (Non-COVID) | Wellness, Screening, Monitoring (Non-COVID) | Physical and non-COVID screenings | DOT Physical | TB Test/TB Read | Women's Services | Travel Health | Ear Wax Removal | Post Vaccination Side Effects | Pfizer COVID-19 Vaccine,Primary Series (ages 12 and older) | Pfizer COVID-19 Vaccine, Primary Series (ages 5 to 11 yrs) | Mesa B2B | Pfizer COVID-19 Initial Doses (ages 18 months to 4 years) | COVID Testing Visit | Antigen B2B | COVID-19 Treatment | Wound Care | Wound Care I&D | Medication Refill | Symptomatic COVID POC Test | Asymptomatic COVID POC Test | Pfizer COVID-19 Bivalent Booster (ages 12 and older) | Pfizer COVID-19 Bivalent Booster (ages 5 to 11 years) | Pfizer Bivalent (ages 18 mos to 4 yrs) | Patient Care Transformation | Sleep Assessment | Fever and Cough or Shortness of breath",Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,9:00 AM, 8:00 PM,Closed,,Closed,,Closed,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,Open 24 Hours,,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,2:00 PM - 3:00 PM,1:00 PM - 1:30 PM,1:00 PM - 1:30 PM
